epoch,training_loss,training_auc,validation_loss,validation_auc,epoch_seconds
1.0,0.3287362397880089,0.7825725448060442,0.35448929613163366,0.8752542506763562,47.26655369999935
2.0,0.27638741682215434,0.8937919861176556,0.268226650452288,0.9176129070479275,47.99332709999726
3.0,0.2530095722326418,0.9022028514156838,0.23780141587545225,0.9208646826885734,49.40163570000004
4.0,0.23983373015392118,0.9044290973310675,0.22092288043477268,0.9227999499726824,50.94982439999876
5.0,0.22607508452927194,0.9129661301306987,0.21265803783249476,0.9247154696314435,50.48200189999625
6.0,0.21682876774450627,0.914755688767535,0.2091780262140044,0.9272234180506461,50.13349449999805
7.0,0.20915623071717052,0.9176573905666504,0.23446788900194515,0.9280462357734816,50.547826299996814
8.0,0.212293157817387,0.9160405773979589,0.1952977716108118,0.930870146198253,50.90297429999919
9.0,0.20136580397443074,0.9207448012809092,0.18842783485431064,0.9328844039837543,51.22216209999897
10.0,0.19621822376076767,0.9235180745120845,0.18751736042982897,0.9340297662539413,50.41068570000061
11.0,0.19235973842260315,0.924857831685619,0.19079646503803127,0.9354581778207837,50.54391999999643
12.0,0.18936734461202853,0.9275979426105186,0.17868170814253476,0.9360374414976599,51.14869089999411
