epoch,training_loss,training_auc,validation_loss,validation_auc,epoch_seconds
1.0,0.25764277428388593,0.8752827463454385,0.7887966488636521,0.910082479248537,115.5217393999992
2.0,0.20241499002386884,0.916557306424835,0.1792683231226404,0.9410204256271517,113.1934179000018
3.0,0.1853719225162413,0.92872938020554,0.23803678624213148,0.9456479525003785,96.45653210000455
4.0,0.1685087550195252,0.9432746692135318,0.42632500384775135,0.928118643733091,94.14165179999691
5.0,0.1536598388596279,0.9528308399801146,0.32147592941727615,0.9573418379773165,112.33249459999934
6.0,0.14321401665850383,0.9597756298652494,0.1177431275741386,0.972234838760639,183.22962140000163
7.0,0.13311011198090344,0.965424678001543,0.47464653294626835,0.9721755958845949,94.48133570000209
8.0,0.15302299094636265,0.9525245408603328,0.7371311736269801,0.9671136212537109,94.69633769999928
9.0,0.12705529691969475,0.9676938841773292,0.21553558348794732,0.9741964362118789,93.91848420000315
10.0,0.12736991651174498,0.9668545763530447,0.3903690170590047,0.9532573708011611,96.99802620000264
11.0,0.12471912695140373,0.9677828194532501,0.10228228056485127,0.978297359742491,96.74089980000281
12.0,0.11548515860627337,0.9726899363555047,0.4566902313874674,0.9760987907870745,96.63730979999673
